Metric,Zero-shot,One-shot,Few-shot
rouge1,0.20044181572226655,0.21843144497239425,0.27056257506052805
rouge2,0.03670892833311091,0.05135534915720674,0.07295095301998201
rougeL,0.12870564784175634,0.15016919598658254,0.205364124297037
rougeLsum,0.1287056478417563,0.15066856869574097,0.20425947313424628
